system,code,warehouse_meaning,warehouse_row_count,warehouse_patient_count,atom_count,direct_atom_count,atom_ids,atom_names,phenotypes,mapping_roles,audit_flag
ICD10,I95.2,Hypotension due to drugs,1167,214,2,2,al29_competing_hypotension | wt18_competing_hypotension,Competing cause of falling blood pressure | Competing cause of hypotension or syncope,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I42.1,Obstructive hypertrophic cardiomyopathy,2494,204,4,4,al33_competing_cardiomyopathy | hypertrophic_cardiomyopathy | thick_walls | wt09_competing_hf_cause,Competing cause of cardiomyopathy | Competing cause of heart failure | Hypertrophic cardiomyopathy | Unexplained left-ventricular wall thickness / LVH,AL | ATTRV | ATTRWT | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M65.321,"Trigger finger, right index finger",1120,203,3,3,biceps_rupture | rotator_cuff | trigger_finger,"Rotator cuff tear / repair | Spontaneous distal biceps tendon rupture (""Popeye sign"") | Trigger finger / stenosing tenosynovitis",AL | ATTRV | ATTRWT | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I13.10,"Hypertensive heart and chronic kidney disease without heart failure, with stage 1 through stage 4 chronic kidney disease, or unspecified chronic kidney disease",1357,200,2,2,al03_competing_proteinuria | hypertension,Competing cause of proteinuria | Hypertension,ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I44.1,"Atrioventricular block, second degree",771,193,3,3,af | arrhythmia | conduction_disease,"AV block, bundle-branch block, or sinus-node disease | Atrial fibrillation or flutter | arrhythmia",AL | ATTRV | ATTRWT | ATTRV | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,N19,Unspecified kidney failure,3012,162,2,2,kidney_failure | renal_dysfunction,Kidney failure / end-stage renal disease | Renal dysfunction / chronic kidney disease,AL,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,E10.21,Type 1 diabetes mellitus with diabetic nephropathy,3408,154,2,2,al03_competing_proteinuria | al04_competing_nephrotic,Competing cause of nephrotic syndrome | Competing cause of proteinuria,,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M14.671,"Charcot's joint, right ankle and foot",2184,152,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,M14.672,"Charcot's joint, left ankle and foot",2904,140,3,3,charcot_arthropathy | plantar_ulcer | trophic_change,charcot arthropathy | plantar ulcer | trophic change,ATTRV,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
ICD10,I44.30,Unspecified atrioventricular block,595,130,3,3,af | arrhythmia | conduction_disease,"AV block, bundle-branch block, or sinus-node disease | Atrial fibrillation or flutter | arrhythmia",AL | ATTRV | ATTRWT | ATTRV | ATTRV | ATTRWT,DIRECT_TARGET,CONFLICTING_DIRECT_REUSE
